0 20000000 40000000 60000000 80000000 100000000 120000000 140000000 160000000 180000000 200000000 220000000 240000000 260000000 280000000 300000000 320000000 340000000 360000000 380000000 400000000 420000000 440000000 460000000 480000000 500000000 520000000 540000000 560000000 580000000 600000000 620000000 640000000 660000000 680000000 700000000 720000000 740000000 760000000 780000000 800000000 820000000 840000000 860000000 880000000 900000000 920000000 940000000 960000000 980000000 INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF
INF 0 20000000 40000000 60000000 80000000 100000000 120000000 140000000 160000000 180000000 200000000 220000000 240000000 260000000 280000000 300000000 320000000 340000000 360000000 380000000 400000000 420000000 440000000 460000000 480000000 500000000 520000000 540000000 560000000 580000000 600000000 620000000 640000000 660000000 680000000 700000000 720000000 740000000 760000000 780000000 800000000 820000000 840000000 860000000 880000000 900000000 920000000 940000000 960000000 980000000 INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF
INF INF 0 20000000 40000000 60000000 80000000 100000000 120000000 140000000 160000000 180000000 200000000 220000000 240000000 260000000 280000000 300000000 320000000 340000000 360000000 380000000 400000000 420000000 440000000 460000000 480000000 500000000 520000000 540000000 560000000 580000000 600000000 620000000 640000000 660000000 680000000 700000000 720000000 740000000 760000000 780000000 800000000 820000000 840000000 860000000 880000000 900000000 920000000 940000000 960000000 980000000 INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF
INF INF INF 0 20000000 40000000 60000000 80000000 100000000 120000000 140000000 160000000 180000000 200000000 220000000 240000000 260000000 280000000 300000000 320000000 340000000 360000000 380000000 400000000 420000000 440000000 460000000 480000000 500000000 520000000 540000000 560000000 580000000 600000000 620000000 640000000 660000000 680000000 700000000 720000000 740000000 760000000 780000000 800000000 820000000 840000000 860000000 880000000 900000000 920000000 940000000 960000000 980000000 INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF
INF INF INF INF 0 20000000 40000000 60000000 80000000 100000000 120000000 140000000 160000000 180000000 200000000 220000000 240000000 260000000 280000000 300000000 320000000 340000000 360000000 380000000 400000000 420000000 440000000 460000000 480000000 500000000 520000000 540000000 560000000 580000000 600000000 620000000 640000000 660000000 680000000 700000000 720000000 740000000 760000000 780000000 800000000 820000000 840000000 860000000 880000000 900000000 920000000 940000000 960000000 980000000 INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF
INF INF INF INF INF 0 20000000 40000000 60000000 80000000 100000000 120000000 140000000 160000000 180000000 200000000 220000000 240000000 260000000 280000000 300000000 320000000 340000000 360000000 380000000 400000000 420000000 440000000 460000000 480000000 500000000 520000000 540000000 560000000 580000000 600000000 620000000 640000000 660000000 680000000 700000000 720000000 740000000 760000000 780000000 800000000 820000000 840000000 860000000 880000000 900000000 920000000 940000000 960000000 980000000 INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF
INF INF INF INF INF INF 0 20000000 40000000 60000000 80000000 100000000 120000000 140000000 160000000 180000000 200000000 220000000 240000000 260000000 280000000 300000000 320000000 340000000 360000000 380000000 400000000 420000000 440000000 460000000 480000000 500000000 520000000 540000000 560000000 580000000 600000000 620000000 640000000 660000000 680000000 700000000 720000000 740000000 760000000 780000000 800000000 820000000 840000000 860000000 880000000 900000000 920000000 940000000 960000000 980000000 INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF
INF INF INF INF INF INF INF 0 20000000 40000000 60000000 80000000 100000000 120000000 140000000 160000000 180000000 200000000 220000000 240000000 260000000 280000000 300000000 320000000 340000000 360000000 380000000 400000000 420000000 440000000 460000000 480000000 500000000 520000000 540000000 560000000 580000000 600000000 620000000 640000000 660000000 680000000 700000000 720000000 740000000 760000000 780000000 800000000 820000000 840000000 860000000 880000000 900000000 920000000 940000000 960000000 980000000 INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF
INF INF INF INF INF INF INF INF 0 20000000 40000000 60000000 80000000 100000000 120000000 140000000 160000000 180000000 200000000 220000000 240000000 260000000 280000000 300000000 320000000 340000000 360000000 380000000 400000000 420000000 440000000 460000000 480000000 500000000 520000000 540000000 560000000 580000000 600000000 620000000 640000000 660000000 680000000 700000000 720000000 740000000 760000000 780000000 800000000 820000000 840000000 860000000 880000000 900000000 920000000 940000000 960000000 980000000 INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF
INF INF INF INF INF INF INF INF INF 0 20000000 40000000 60000000 80000000 100000000 120000000 140000000 160000000 180000000 200000000 220000000 240000000 260000000 280000000 300000000 320000000 340000000 360000000 380000000 400000000 420000000 440000000 460000000 480000000 500000000 520000000 540000000 560000000 580000000 600000000 620000000 640000000 660000000 680000000 700000000 720000000 740000000 760000000 780000000 800000000 820000000 840000000 860000000 880000000 900000000 920000000 940000000 960000000 980000000 INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF
INF INF INF INF INF INF INF INF INF INF 0 20000000 40000000 60000000 80000000 100000000 120000000 140000000 160000000 180000000 200000000 220000000 240000000 260000000 280000000 300000000 320000000 340000000 360000000 380000000 400000000 420000000 440000000 460000000 480000000 500000000 520000000 540000000 560000000 580000000 600000000 620000000 640000000 660000000 680000000 700000000 720000000 740000000 760000000 780000000 800000000 820000000 840000000 860000000 880000000 900000000 920000000 940000000 960000000 980000000 INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF INF
